,勤務地,陽性確定日
0,愛知県豊田市,107
1,愛知県田原市,9
2,静岡県裾野市,8
3,愛知県名古屋市,6
4,東京都文京区,5
5,愛知県みよし市,4
6,愛知県東海市,3
7,愛知県碧南市,2
8,岐阜県多治見市,1
9,愛知県丹羽郡大口町,1
