,勤務地,陽性確定日
0,三重県鈴鹿市,52
1,埼玉県和光市,32
2,埼玉県大里郡,26
3,埼玉県朝霞市,41
4,埼玉県比企郡,3
5,埼玉県狭山市,27
6,大阪府大阪市,1
7,愛知県名古屋市,2
8,東京都港区,9
9,栃木県さくら市,6
10,栃木県宇都宮市,1
11,栃木県真岡市,1
12,栃木県芳賀郡,56
13,熊本県菊池郡,8
14,静岡県浜松市,10
